Indicator Type,Indicators,Note
Domain ,trojan.win32.hyperbro.ag,Emissary Panda (APT27) IOC
Domain ,order.myvandyke.net,Emissary Panda (APT27) IOC
Domain ,oa.myvandyke.net,Emissary Panda (APT27) IOC
Domain ,ns.mlnrm.com,Emissary Panda (APT27) IOC
Domain ,ns.sportwo8.me,Emissary Panda (APT27) IOC
Domain ,ns.sportxx.me,Emissary Panda (APT27) IOC
Domain ,oa.88tech.me,Emissary Panda (APT27) IOC
Domain ,multi-user.target,Emissary Panda (APT27) IOC
Domain ,jira.atlas-sian.net,Emissary Panda (APT27) IOC
Domain ,ybupdate.me,Emissary Panda (APT27) IOC
Domain ,dev.gitlabs.me,Emissary Panda (APT27) IOC
File Hash (SHA256),cc196ee155bf864071cbeec3ddcd3e2451a37d4296f53a024142c70193b9691d,Emissary Panda (APT27) IOC
File Hash (SHA256),d950cc937f4df9ab0bad44513d23ea7ecdfae2b0de8ba351018de5fb5d7b1382,Emissary Panda (APT27) IOC
File Hash (SHA256),fac0009d615e98238cf348819b21f0dbbb462653c2257f1c6ef552838894e166,Emissary Panda (APT27) IOC
File Hash (SHA256),c256b85747ad81e3f3f6c49ce496e77f024b302f921cb007a5f5375ac5b672d7,Emissary Panda (APT27) IOC
File Hash (SHA256),ba1dabf7ff0a4bca8d7ff6e541b1930fc8328d240ba8a56ede96cc203daf6772,Emissary Panda (APT27) IOC
File Hash (SHA256),ba484eebda8dbe07b36eb07fa6c5cbb8d1dcc6638808cdcf7f33d7bab51d2805,Emissary Panda (APT27) IOC
File Hash (SHA256),aad2e40411aa08e398cdf7397c7a1b3b7ab2a5ba833b6d65f68b145d51c2ed05,Emissary Panda (APT27) IOC
File Hash (SHA256),b504ab7a4a35e6deb34536d4663db696918961aadc03662b2c34e89b50ba10a1,Emissary Panda (APT27) IOC
File Hash (SHA256),b92a9dcdcf0bec8cd1e8b701dbf7bd6f7e68473a9e711267a4af8e4be783bb1e,Emissary Panda (APT27) IOC
File Hash (SHA256),9499eabf880a55522c1b78d5afaa9ff34ae958950627ccd15099f2e771c9b0b1,Emissary Panda (APT27) IOC
File Hash (SHA256),9add546cb9527f9d7e4930aaddec6e14c70d1400d0d531a9102efd4c83b27dd7,Emissary Panda (APT27) IOC
