Indicator Type,Indicators,Note
Domain ,valtronics-ae.com,OilRig (APT34) IOC
Domain ,hsbcbkcn.com,OilRig (APT34) IOC
Domain ,ntu-sg-edu.com,OilRig (APT34) IOC
Domain ,theworldbank.uk,OilRig (APT34) IOC
Domain ,cisco0.com,OilRig (APT34) IOC
Domain ,coinbasedeutschland.com,OilRig (APT34) IOC
Domain ,astrazeneeca.com,OilRig (APT34) IOC
Domain ,astrazencea.com,OilRig (APT34) IOC
Domain ,vision2030.tk,OilRig (APT34) IOC
Domain ,updatenodes.site,OilRig (APT34) IOC
Domain ,markham-travel.com,OilRig (APT34) IOC
Domain ,codewizard.ml,OilRig (APT34) IOC
Domain ,dubaiexpo2020.cf,OilRig (APT34) IOC
Domain ,vision2030.cf,OilRig (APT34) IOC
Domain ,microsoft.updatemeltdownkb7234.com,OilRig (APT34) IOC
Domain ,malcolmrifkind.site,OilRig (APT34) IOC
Domain ,qwzbabzfour-digits.joexpediagroup.com,Macro start
Domain ,qwzbbbzfour-digits.joexpediagroup.com,Connected successfully to task scheduler
Domain ,qwzbaezfour-digits.joexpediagroup.com,Successfully created malicious PE file
Domain ,qwzbbezfour-digits.joexpediagroup.com,Successfully created XML config file
Domain ,qwzbcezfour-digits.joexpediagroup.com,Successfully created signed Microsoft PE file
Domain ,qwzbdezfour-digits.joexpediagroup.com,Double-check malicious PE file was created
Domain ,qwzbeezfour-digits.joexpediagroup.com,Successful manual execution of malicious PE file
Domain ,qwzafzzfour-digits.joexpediagroup.com,Begin task scheduler configuration for persistence
Domain ,qwzbbfzfour-digits.joexpediagroup.com,Successfully created scheduled task
Domain ,joexpediagroup.com,C2 OilRig (APT34) IOC
Domain ,asiaworldremit.com,C2 OilRig (APT34) IOC
Domain ,uber-asia.com,C2 OilRig (APT34) IOC
File Hash (SHA256),fbefe503d78104e04625a511528584327ac129c3436e4df09f3d167e438a1862,OilRig (APT34) IOC
File Hash (SHA256),e7e41b3d7c0ee2d0939bb56d797eaf2dec44516ba54b8bf1477414b03d4d6e48,OilRig (APT34) IOC
File Hash (SHA256),ec3da59d4a35941f6951639d81d1c5ff73057d9cf779428d80474e9656db427c,OilRig (APT34) IOC
File Hash (SHA256),ee7f92a158940a0b5d9b902eb0ed9a655c7e6ba312473b1e2c9ef80d58baa6dd,OilRig (APT34) IOC
File Hash (SHA256),db9902cb42f6dc9f1c02bd3413ab3969d345eb6b0660bd8356a0c328f1ec0c07,OilRig (APT34) IOC
File Hash (SHA256),e0c316b1d9d3d9ec5a97707a0f954240bbc9748b969f9792c472d0a40ab919ea,OilRig (APT34) IOC
File Hash (SHA256),d153e4b8a11e2537ecf99aec020da5fad1e34bbe79f617a3ee5bc0b07c3abdca,OilRig (APT34) IOC
File Hash (SHA256),d52b08dd27f2649bad764152dfc2a7dea0c8894ce7c20b51482f4a4cf3e1e792,OilRig (APT34) IOC
File Hash (SHA256),cb7ecd6805b12fdb442faa8f61f6a2ee69b8731326a646ba1e8886f0a5dd61e0,OilRig (APT34) IOC
File Hash (SHA256),cda5b20712e59a6ba486e55a6ab428b9c45eb8d419e25f555ae4a7b537fc2f26,OilRig (APT34) IOC
File Hash (SHA256),a1d9f5b9ca7dda631f30bd1220026fc8c3a554d61db09b5030b8eb9d33dc9356,OilRig (APT34) IOC
File Hash (SHA256),b22bbda8f504f8cced886f566f954cc245f3e7c205e57139610bbbff0412611c,OilRig (APT34) IOC
File Hash (SHA256),7942eee31d8cb1c8853ce679f686ee104d359023645c7cb808361df791337145,OilRig (APT34) IOC
File Hash (SHA256),846a95a26aac843d1fcec51b2b730e9e8f40032ee4f769035966169d68d144c4,OilRig (APT34) IOC
